Time,TMin,TMax,VMin,VMax,NMin,NMax
182,0.243748,0.250568,0.0387274,0.0444213,0.52135,0.744064
183,0.242556,0.24934,0.0382005,0.0438463,0.522476,0.746261
184,0.241365,0.248114,0.0376825,0.0432808,0.523592,0.748443
185,0.240175,0.24689,0.037173,0.0427247,0.524697,0.750611
186,0.238988,0.245667,0.036672,0.0421778,0.525792,0.752765
187,0.237802,0.244446,0.0361792,0.0416399,0.526876,0.754904
188,0.236618,0.243227,0.0356946,0.0411109,0.527949,0.75703
189,0.235436,0.242011,0.0352179,0.0405905,0.529012,0.759141
190,0.234256,0.240796,0.0347491,0.0400786,0.530066,0.761239
191,0.233078,0.239583,0.034288,0.0395751,0.531109,0.763322
192,0.231902,0.238373,0.0338344,0.0390798,0.532143,0.765393
193,0.230729,0.237165,0.0333882,0.0385926,0.533167,0.767449
194,0.229558,0.235959,0.0329493,0.0381132,0.534181,0.769493
195,0.22839,0.234756,0.0325175,0.0376416,0.535186,0.771523
196,0.227224,0.233556,0.0320927,0.0371776,0.536182,0.77354
197,0.22606,0.232358,0.0316748,0.0367211,0.537169,0.775544
198,0.224899,0.231163,0.0312637,0.0362719,0.538146,0.777536
199,0.223741,0.22997,0.0308591,0.03583,0.539115,0.779514
200,0.222586,0.228781,0.0304611,0.035395,0.540075,0.78148
201,0.221433,0.227594,0.0300695,0.0349671,0.541026,0.783433
202,0.220283,0.22641,0.0296841,0.0345459,0.541969,0.785374
203,0.219137,0.225229,0.0293049,0.0341314,0.542903,0.787302
204,0.217993,0.224052,0.0289317,0.0337235,0.54383,0.789218
205,0.216852,0.222877,0.0285645,0.033322,0.544747,0.791122
206,0.215714,0.221706,0.0282031,0.0329268,0.545657,0.793014
207,0.214579,0.220538,0.0278474,0.0325379,0.546559,0.794894
208,0.213448,0.219373,0.0274973,0.032155,0.547453,0.796762
209,0.21232,0.218212,0.0271527,0.0317782,0.548339,0.798618
210,0.211195,0.217054,0.0268136,0.0314072,0.549217,0.800462
211,0.210073,0.215899,0.0264798,0.0310419,0.550088,0.802295
212,0.208955,0.214748,0.0261511,0.0306824,0.550951,0.804116
213,0.20784,0.2136,0.0258277,0.0303284,0.551807,0.805926
214,0.206728,0.212456,0.0255092,0.0299799,0.552655,0.807725
215,0.20562,0.211316,0.0251957,0.0296367,0.553497,0.809512
216,0.204515,0.210179,0.0248871,0.0292988,0.554331,0.811288
217,0.203414,0.209046,0.0245832,0.0289661,0.555158,0.813054
218,0.202317,0.207916,0.024284,0.0286384,0.555978,0.814808
219,0.201223,0.206791,0.0239894,0.0283157,0.556791,0.816551
220,0.200133,0.205669,0.0236993,0.027998,0.557597,0.818283
221,0.199046,0.20455,0.0234137,0.027685,0.558397,0.820005
222,0.197963,0.203436,0.0231324,0.0273768,0.55919,0.821716
223,0.196884,0.202326,0.0228554,0.0270733,0.559977,0.823416
224,0.195808,0.201219,0.0225826,0.0267743,0.560757,0.825106
225,0.194737,0.200117,0.022314,0.0264797,0.56153,0.826785
226,0.193669,0.199018,0.0220494,0.0261896,0.562297,0.828454
227,0.192605,0.197923,0.0217888,0.0259038,0.563058,0.830113
228,0.191545,0.196833,0.0215321,0.0256222,0.563813,0.831762
229,0.190489,0.195746,0.0212792,0.0253449,0.564562,0.8334
230,0.189436,0.194664,0.0210302,0.0250716,0.565305,0.835028
