Time,TMin,TMax,VMin,VMax,NMin,NMax
306,0.172209,0.173727,0.0100378,0.0125994,0.610279,0.940793
307,0.1713,0.172809,0.00992359,0.012473,0.610856,0.942233
308,0.170395,0.171895,0.00981105,0.0123483,0.61143,0.943665
309,0.169493,0.170984,0.0097001,0.0122253,0.612,0.94509
310,0.168594,0.170077,0.00959072,0.012104,0.612567,0.946507
311,0.1677,0.169174,0.00948289,0.0119843,0.61313,0.947916
312,0.166809,0.168275,0.00937658,0.0118662,0.613689,0.949319
313,0.165922,0.167379,0.00927175,0.0117497,0.614245,0.950714
314,0.165038,0.166487,0.0091684,0.0116348,0.614797,0.952101
315,0.164158,0.165599,0.00906649,0.0115214,0.615346,0.953481
316,0.163282,0.164714,0.008966,0.0114096,0.615892,0.954854
317,0.162409,0.163833,0.00886691,0.0112992,0.616434,0.95622
318,0.16154,0.162956,0.0087692,0.0111903,0.616972,0.957579
319,0.160675,0.162083,0.00867283,0.0110829,0.617507,0.95893
320,0.159813,0.161213,0.0085778,0.0109769,0.618039,0.960274
321,0.158955,0.160347,0.00848407,0.0108723,0.618568,0.961611
322,0.158101,0.159485,0.00839163,0.0107691,0.619093,0.962942
323,0.15725,0.158626,0.00830046,0.0106673,0.619615,0.964265
324,0.156403,0.157771,0.00821053,0.0105668,0.620134,0.965581
325,0.15556,0.15692,0.00812183,0.0104676,0.62065,0.96689
326,0.15472,0.156073,0.00803433,0.0103697,0.621162,0.968192
327,0.153884,0.155229,0.00794802,0.010273,0.621672,0.969487
328,0.153052,0.154389,0.00786288,0.0101776,0.622178,0.970776
329,0.152223,0.153553,0.00777889,0.0100834,0.622681,0.972058
330,0.151399,0.152721,0.00769602,0.00999049,0.623181,0.973333
331,0.150577,0.151892,0.00761427,0.00989872,0.623678,0.974601
332,0.14976,0.151067,0.00753362,0.00980813,0.624172,0.975862
333,0.148946,0.150246,0.00745404,0.00971869,0.624662,0.977117
334,0.148135,0.149428,0.00737552,0.00963038,0.62515,0.978365
335,0.147329,0.148614,0.00729804,0.0095432,0.625635,0.979607
336,0.146526,0.147804,0.00722159,0.00945712,0.626117,0.980842
337,0.145727,0.146997,0.00714616,0.00937213,0.626596,0.98207
338,0.144931,0.146195,0.00707171,0.00928823,0.627072,0.983292
339,0.144139,0.145395,0.00699825,0.00920537,0.627545,0.984507
340,0.14335,0.1446,0.00692575,0.00912355,0.628015,0.985716
341,0.142566,0.143808,0.0068542,0.00904275,0.628483,0.986918
342,0.141785,0.14302,0.00678358,0.00896296,0.628947,0.988115
343,0.141007,0.142236,0.00671389,0.00888415,0.629409,0.989304
344,0.140233,0.141455,0.00664509,0.00880631,0.629868,0.990488
345,0.139463,0.140678,0.00657719,0.00872944,0.630324,0.991665
346,0.138696,0.139904,0.00651017,0.0086535,0.630777,0.992836
347,0.137933,0.139135,0.00644401,0.0085785,0.631228,0.994
